,OBJECTID,UtilityCompany,StartDateTime,ImpactedCustomers,County,FID,x,y,xp,yp,lon,lat,StartDate,StartTime
67,1193287.0,PGE,2020-04-05 20:11:12,1,SAN JOAQUIN,,0.31146808638687773,0.6060620317319572,-13499797.024923474,4576418.68631458,-121.27073999999999,37.97870999999999,2020-04-05,20:11:12
60,1193267.0,PGE,2020-04-05 19:37:34,1,HUMBOLDT,,0.020803766854406547,0.9413277211824638,-13813785.893849889,4984818.803328828,-124.09134999999999,40.813140000000004,2020-04-05,19:37:34
61,1193274.0,SMUD,2020-04-05 17:19:22,1,SACRAMENTO,,0.30064029367550305,0.6865390067325743,-13511493.700978804,4674450.805440974,-121.37581302873897,38.6695740543869,2020-04-05,17:19:22
55,1193257.0,PGE,2020-04-05 19:15:25,5,NEVADA,,0.3843080634196241,0.7630760510237913,-13421111.956051156,4767683.542425449,-120.5639,39.32048999999999,2020-04-05,19:15:25
62,1193278.0,PGE,2020-04-05 19:52:15,1,SANTA CRUZ,,0.23884348419426615,0.5077518124864535,-13578249.436060032,4456663.201912449,-121.97549,37.12584999999999,2020-04-05,19:52:15
69,1193289.0,PGE,2020-04-05 20:25:41,4,STANISLAUS,,0.34920814748798,0.5833932079655635,-13459028.487810252,4548804.914401492,-120.90450999999999,37.782919999999976,2020-04-05,20:25:41
37,1193201.0,PGE,2020-04-05 17:45:16,1,SANTA CLARA,,0.2790845727451199,0.49565790613577,-13534779.17490526,4441931.146339229,-121.58499,37.02026,2020-04-05,17:45:16
64,1193280.0,PGE,2020-04-05 19:54:30,1,SAN MATEO,,0.20420935499821447,0.5568619674587922,-13615662.803720744,4516486.183113309,-122.31157999999999,37.55310999999998,2020-04-05,19:54:30
65,1193281.0,PGE,2020-04-05 20:01:37,1,CALAVERAS,,0.41560027583794046,0.6433940683696675,-13387308.67947687,4621894.285551143,-120.26024000000001,38.30001,2020-04-05,20:01:37
68,1193288.0,PGE,2020-04-05 20:15:07,1,PLACER,,0.3231931339036933,0.6954902904517963,-13487131.093261015,4685354.710711895,-121.15695999999998,38.74600999999999,2020-04-05,20:15:07
66,1193282.0,PGE,2020-04-05 19:59:40,1,STANISLAUS,,0.3633837278748082,0.5833111127144726,-13443715.378656728,4548704.910997604,-120.76694999999997,37.78221,2020-04-05,19:59:40
63,1193279.0,PGE,2020-04-05 19:54:30,1,SAN MATEO,,0.20430622215119243,0.5567639883566442,-13615558.163399398,4516366.830975463,-122.31063999999999,37.552259999999976,2020-04-05,19:54:30
54,1193253.0,PGE,2020-04-05 19:15:48,44,SAN FRANCISCO,,0.19107458125508536,0.5850757561938837,-13629851.586017255,4550854.491542697,-122.43903999999999,37.79746999999998,2020-04-05,19:15:48
59,1193266.0,PGE,2020-04-05 19:37:00,1,MONTEREY,,0.27525728970087293,0.457577855670003,-13538913.580793321,4395544.362497385,-121.62213,36.686829999999986,2020-04-05,19:37:00
